Date,Temp_F,Moon_illumin_percent,Species,Pine,Hemlock,Deciduous
12-Oct-24,50,64,PEMA,16,,
12-Oct-24,50,64,PEMA,16,,
12-Oct-24,50,64,PEMA,23,,
12-Oct-24,50,64,MYGA,,15,
12-Oct-24,50,64,PEMA,,10,
12-Oct-24,50,64,MYGA,,23,
12-Oct-24,50,64,PEMA,,14,
12-Oct-24,50,64,PEMA,,,22
12-Oct-24,50,64,PEMA,,,18
12-Oct-24,50,64,PEMA,,,22
12-Oct-24,50,64,PEMA,,,24
12-Oct-24,50,64,PEMA,,,20
12-Oct-24,50,64,GLVO,,,
13-Oct-24,40,74,PEMA,,13,
13-Oct-24,40,74,PEMA,,14,
13-Oct-24,40,74,PEMA,,14,
13-Oct-24,40,74,PEMA,,,21
13-Oct-24,40,74,PEMA,,,25
13-Oct-24,40,74,GLVO,,,
13-Oct-24,40,74,PEMA,,,18
13-Oct-24,40,74,PEMA,,,20
9-Nov-24,35,44,PEMA,17,,
9-Nov-24,35,44,GLVO,,,
9-Nov-24,35,44,PEMA,,15,
9-Nov-24,35,44,PEMA,,16,
9-Nov-24,35,44,PEMA,,,16
9-Nov-24,35,44,PEMA,,,20
9-Nov-24,35,44,MYGA,,,17
9-Nov-24,35,44,TAHU,,,
10-Nov-24,34,55,GLVO,,,
10-Nov-24,34,55,GLVO,,,
10-Nov-24,34,55,GLVO,,,
10-Nov-24,34,55,PEMA,,,24
10-Nov-24,34,55,PEMA,,,20
10-Nov-24,34,55,GLVO,,,
10-Nov-24,34,55,PEMA,,,14
